Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17321174,How to Create a Mind,Ray Kurzweil,"Kurzweil, Ray",,"=""0715645374""","=""9780715645376""",0,Duckworth Overlook,Hardcover,352,2013,2012,2018/09/30,2015/06/14,,,read,,,,1,0
104745,The Art of UNIX Programming,Eric S. Raymond,"Raymond, Eric S.",,"=""0131429019""","=""9780131429017""",0,Addison-Wesley,Paperback,560,2003,2003,2018/09/30,2016/09/12,,,read,,,,1,0
17178665,They Don't Make Books About Uncles,Joe Jurek,"Jurek, Joe",,"=""1477285822""","=""9781477285824""",0,AuthorHouse,Paperback,40,2012,2012,,2015/06/26,to-read,to-read (#5),to-read,,,,0,0
11030445,UNCLE: The Definitive Guide for Becoming the World's Greatest Aunt or Uncle,Will Murray,"Murray, Will",,"=""160037946X""","=""9781600379468""",0,Morgan James Publishing,Paperback,122,2011,2011,,2015/06/26,to-read,to-read (#4),to-read,,,,0,0
8646752,Hackers: Heroes of the Computer Revolution,Steven Levy,"Levy, Steven",,"=""1449393829""","=""9781449393823""",4,O'Reilly Media,Kindle Edition,520,2010,1984,,2015/06/14,,,read,,,,1,0
6271122,Repotting Harry Potter: A Professor's Book-By-Book Guide for the Serious Re-Reader,James W. Thomas,"Thomas, James W.",,"=""0982238525""","=""9780982238523""",0,"Winged Lion Press, LLC",Paperback,352,2009,2009,,2015/06/14,to-read,to-read (#3),to-read,,,,0,0
2120344,Nim Chimpsky: The Chimp Who Would Be Human,Elizabeth Hess,"Hess, Elizabeth",,"=""0553803832""","=""9780553803839""",5,Bantam,Hardcover,384,2008,2008,,2015/06/14,,,read,,,,1,1
5548,What Do You Care What Other People Think? Further Adventures of a Curious Character,Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,"=""0393320928""","=""9780393320923""",5,W.W. Norton & Company,Paperback,256,2001,1988,,2015/06/10,,,read,,,,1,0
7022944,Einstein,Walter Isaacson,"Isaacson, Walter",,"=""0061893897""","=""9780061893896""",0,HarperDes,Hardcover,94,2009,2009,,2015/06/10,to-read,to-read (#2),to-read,,,,0,0
61539,The Structure of Scientific Revolutions,Thomas S. Kuhn,"Kuhn, Thomas S.",,"=""0226458083""","=""9780226458083""",0,University of Chicago Press,Paperback,226,1996,1962,,2015/06/10,to-read,to-read (#1),to-read,,,,0,0
9491855,"Why the West Rules—for Now: The Patterns of History, and What They Reveal About the Future",Ian Morris,"Morris, Ian",,"=""1429977043""","=""9781429977043""",5,"Farrar, Straus and Giroux",Kindle Edition,1162,2010,2010,,2015/06/10,,,read,,,,1,1
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",4,Gallery Books,Paperback,288,1998,1936,,2010/06/19,,,read,,,,1,0
3871824,Gerda Malaperis!,Claude Piron,"Piron, Claude",,"=""""","=""""",4,Fonto,Paperback,48,1983,1983,,2010/06/19,,,read,,,,1,0
1367368,A Brief History of Time,Stephen W. Hawking,"Hawking, Stephen W.",,"=""1841330183""","=""9781841330181""",4,Marshall Media,CD-ROM,0,1999,1988,,2010/06/19,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,Arthur A. Levine Books,Hardcover,352,1999,1998,,2009/04/13,,,read,,,,1,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",5,Bantam,Hardcover,244,2004,1951,,2009/04/13,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",5,Houghton Mifflin,Paperback,366,2002,1937,,2009/04/13,,,read,,,,1,0
